n	campo	longitud	inicio	fin	tipo_dgt	formato	descripcion
20	COD_PROVINCIA_VEH	2	153	154	CHAR(2)	Ver anexo I	Código de la provincia donde está domiciliado el vehículo
21	COD_PROVINCIA_MAT	2	155	156	CHAR(2)	Ver anexo I	Código de la provincia donde fue matriculado el vehículo
22	CLAVE_TRAMITE	1	157	157	CHAR(1)	Ver anexo I	Código del trámite
23	FEC_TRAMITE	8	158	165	CHAR(8)	DATE, DDMMYYYY	Fecha en la que se realizó el trámite
24	CODIGO_POSTAL	5	166	170	CHAR(5)	INTEGER, 99999	Código postal donde está domiciliado el vehículo
25	FEC_PRIM_MATRICULACION	8	171	178	CHAR(8)	DATE, DDMMYYYY	Fecha de la primera matriculación del vehículo
26	IND_NUEVO_USADO	1	179	179	CHAR(1)	N / U	Nuevo (N) o usado (U) al momento de la matriculación. Se calcula en el almacén de datos
27	PERSONA_FISICA_JURIDICA	1	180	180	CHAR(1)	D / X	Titular persona física (D) o jurídica (X)
28	CODIGO_ITV	9	181	189	CHAR(9)		Código ITV
29	SERVICIO	3	190	192	CHAR(3)	Ver anexo I	Código de servicio del vehículo (nueva versión del campo)
30	COD_MUNICIPIO_INE_VEH	5	193	197	CHAR(5)	INTEGER, 99999	Código INE del municipio del domicilio del vehículo
31	MUNICIPIO	30	198	227	CHAR(30)		Nombre del municipio donde está domiciliado el vehículo
32	KW_ITV	7	228	234	CHAR(7)	DECIMAL(8,2), ZZZ9.99	Potencia neta máxima en kW. Si es nulo el valor será *******
33	NUM_PLAZAS_MAX	3	235	237	CHAR(3)	INTEGER, ZZ9	Número de plazas máximo. En un vehículo de carga, plazas máximas con el vehículo cargado
34	CO2_ITV	5	238	242	CHAR(5)	SMALLINT, ZZZZZ	Emisiones CO2
35	RENTING	1	243	243	CHAR(1)	S / N o blanco	Indica si es vehículo de renting
36	COD_TUTELA	1	244	244	CHAR(1)	N / S / blanco	Titular menor de edad o con tutela judicial
37	COD_POSESION	1	245	245	CHAR(1)	V / S / blanco	Tipo de posesión: venta (V), subasta (S). Posesión por alguien distinto al titular
38	IND_BAJA_DEF	1	246	246	CHAR(1)	Ver anexo I	Indicador de baja definitiva del vehículo
39	IND_BAJA_TEMP	1	247	247	CHAR(1)	S / N o blanco	Indicador de baja temporal del vehículo
40	IND_SUSTRACCION	1	248	248	CHAR(1)	S / N o blanco	Indicador de vehículo robado
41	BAJA_TELEMATICA	11	249	259	CHAR(11)	En desguace / blanco	Si es una baja telemática su valor será En desguace
42	TIPO_ITV	25	260	284	CHAR(25)		Tipo del vehículo
43	VARIANTE_ITV	25	285	309	CHAR(25)		Variante del vehículo
44	VERSION_ITV	35	310	344	CHAR(35)		Versión del vehículo
45	FABRICANTE_ITV	70	345	414	CHAR(70)		Fabricante del vehículo completo o completado
46	MASA_ORDEN_MARCHA_ITV	6	415	420	CHAR(6)		Masa en orden de marcha
47	MASA_MAXIMA_TECNICA_ADMISIBLE_ITV	6	421	426	CHAR(6)		Masa máxima técnicamente admisible
48	CATEGORIA_HOMOLOGACION_EUROPEA_ITV	4	427	430	CHAR(4)		Categoría homologación UE
49	CARROCERIA	4	431	434	CHAR(4)		Carrocería del vehículo
50	PLAZAS_PIE	3	435	437	CHAR(3)	FORMAT zz9	Número de plazas de pie
51	NIVEL_EMISIONES_EURO_ITV	8	438	445	CHAR(8)		Nivel emisiones EURO
52	CONSUMO_WH_KM_ITV	4	446	449	CHAR(4)	FORMAT zz9	Consumo energía eléctrica
53	CLASIFICACION_REGLAMENTO_VEHICULOS_ITV	4	450	453	CHAR(4)		Clasificación Anexo II RD 2822
54	CATEGORIA_VEHICULO_ELECTRICO	4	454	457	CHAR(4)	Ver anexo I	Categoría de vehículo eléctrico
55	AUTONOMIA_VEHICULO_ELECTRICO	6	458	463	CHAR(6)		Autonomía del vehículo eléctrico
56	MARCA_VEHICULO_BASE	30	464	493	CHAR(30)		Marca del vehículo base
57	FABRICANTE_VEHICULO_BASE	50	494	543	CHAR(50)		Fabricante del vehículo base
58	TIPO_VEHICULO_BASE	35	544	578	CHAR(35)		Tipo del vehículo base
59	VARIANTE_VEHICULO_BASE	25	579	603	CHAR(25)		Variante del vehículo base
60	VERSION_VEHICULO_BASE	35	604	638	CHAR(35)		Versión del vehículo base
61	DISTANCIA_EJES_12_ITV	4	639	642	CHAR(4)	FORMAT zz9	Distancia entre ejes 1-2
62	VIA_ANTERIOR_ITV	4	643	646	CHAR(4)	mm	Vía anterior, en mm
63	VIA_POSTERIOR_ITV	4	647	650	CHAR(4)	mm	Vía posterior, en mm
64	TIPO_ALIMENTACION_ITV	1	651	651	CHAR(1)	M / B / F	Monocombustible (M), bicombustible (B), flexicombustible (F)
65	CONTRASENA_HOMOLOGACION_ITV	25	652	676	CHAR(25)		Contraseña de homologación
66	ECO_INNOVACION_ITV	1	677	677	CHAR(1)	S / N o blanco	A la espera de definir por UE, hasta entonces se deja en blanco
67	REDUCCION_ECO_ITV	4	678	681	CHAR(4)		A la espera de definir por UE, hasta entonces se deja en blanco
68	CODIGO_ECO_ITV	25	682	706	CHAR(25)		A la espera de definir por UE, hasta entonces se deja en blanco
69	FEC_PROCESO	8	707	714	CHAR(8)	DATE, DDMMYYYY	Fecha en la que se grabó el proceso de la operación (matriculación, baja o transferencia)
